"","State","Year","Population"
"174","Missouri","2018","6,126"
"175","Mississippi","2018","2,983"
"176","Montana","2018","1,062"
"177","North Carolina","2018","10,391"
"178","North Dakota","2018","760"
"179","Nebraska","2018","1,926"
"180","New Hampshire","2018","1,355"
"181","New Jersey","2018","8,892"
"182","New Mexico","2018","2,094"
"183","Nevada","2018","3,031"
"184","New York","2018","19,544"
"185","Ohio","2018","11,681"
"186","Oklahoma","2018","3,943"
"187","Oregon","2018","4,184"
"188","Pennsylvania","2018","12,809"
"189","Rhode Island","2018","1,059"
"190","South Carolina","2018","5,092"
"191","South Dakota","2018","879"
"192","Tennessee","2018","6,778"
"193","Texas","2018","28,625"
"194","Utah","2018","3,155"
"195","Virginia","2018","8,511"
"196","Vermont","2018","625"
"197","Washington","2018","7,527"
"198","Wisconsin","2018","5,809"
"199","West Virginia","2018","1,806"
"200","Wyoming","2018","579"
"201","Alaska","2019","734"
"202","Alabama","2019","4,908"
"203","Arkansas","2019","3,021"
"204","Arizona","2019","7,292"
"205","California","2019","39,438"
"206","Colorado","2019","5,758"
"207","Connecticut","2019","3,566"
"208","Delaware","2019","977"
"209","Florida","2019","21,492"
"210","Georgia","2019","10,628"
"211","Hawaii","2019","1,416"
"212","Iowa","2019","3,160"
"213","Idaho","2019","1,789"
"214","Illinois","2019","12,667"
"215","Indiana","2019","6,731"
"216","Kansas","2019","2,913"
"217","Kentucky","2019","4,472"
"218","Louisiana","2019","4,658"
"219","Massachusetts","2019","6,895"
"220","Maryland","2019","6,055"
"221","Maine","2019","1,346"
"222","Michigan","2019","9,985"
"223","Minnesota","2019","5,640"
"224","Missouri","2019","6,140"
"225","Mississippi","2019","2,978"
"226","Montana","2019","1,070"
"227","North Carolina","2019","10,501"
"228","North Dakota","2019","764"
"229","Nebraska","2019","1,933"
"230","New Hampshire","2019","1,361"
"231","New Jersey","2019","8,891"
"232","New Mexico","2019","2,100"
"233","Nevada","2019","3,091"
"234","New York","2019","19,463"
"235","Ohio","2019","11,697"
"236","Oklahoma","2019","3,961"
"237","Oregon","2019","4,216"
"238","Pennsylvania","2019","12,799"
"239","Rhode Island","2019","1,058"
"240","South Carolina","2019","5,158"
"241","South Dakota","2019","887"
"242","Tennessee","2019","6,830"
"243","Texas","2019","28,987"
"244","Utah","2019","3,203"
"245","Virginia","2019","8,557"
"246","Vermont","2019","624"
"247","Washington","2019","7,614"
"248","Wisconsin","2019","5,825"
"249","West Virginia","2019","1,795"
"250","Wyoming","2019","580"
"251","Alaska","2020","732"
"252","Alabama","2020","5,025"
"253","Arkansas","2020","3,012"
"254","Arizona","2020","7,178"
"255","California","2020","39,500"
"256","Colorado","2020","5,784"
"257","Connecticut","2020","3,600"
"258","Delaware","2020","992"
"259","Florida","2020","21,570"
"260","Georgia","2020","10,726"
"261","Hawaii","2020","1,452"
"262","Iowa","2020","3,189"
"263","Idaho","2020","1,848"
"264","Illinois","2020","12,785"
"265","Indiana","2020","6,786"
"266","Kansas","2020","2,936"
"267","Kentucky","2020","4,504"
"268","Louisiana","2020","4,651"
"269","Massachusetts","2020","7,022"
"270","Maryland","2020","6,173"
"271","Maine","2020","1,362"
"272","Michigan","2020","10,068"
"273","Minnesota","2020","5,707"
"274","Missouri","2020","6,154"
"275","Mississippi","2020","2,957"
"276","Montana","2020","1,086"
"277","North Carolina","2020","10,457"
"278","North Dakota","2020","779"
"279","Nebraska","2020","1,961"
"280","New Hampshire","2020","1,378"
"281","New Jersey","2020","9,280"
"282","New Mexico","2020","2,118"
"283","Nevada","2020","3,114"
"284","New York","2020","20,155"
"285","Ohio","2020","11,791"
"286","Oklahoma","2020","3,962"
"287","Oregon","2020","4,242"
"288","Pennsylvania","2020","12,990"
"289","Rhode Island","2020","1,096"
"290","South Carolina","2020","5,131"
"291","South Dakota","2020","887"
"292","Tennessee","2020","6,920"
"293","Texas","2020","29,218"
"294","Utah","2020","3,282"
"295","Virginia","2020","8,632"
"296","Vermont","2020","642"
"297","Washington","2020","7,719"
"298","Wisconsin","2020","5,892"
"299","West Virginia","2020","1,790"
"300","Wyoming","2020","577"
